"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2021-01-01","13","Running","","","00:30:00","","00:21:10","00:08:50","","","","6.013","83.6","1.29","","130","147","","","","","","","","","Saucony Ride iso2","","Easy on the roads. Happy new years all, may it bring more races than the last one!",""
"2021-01-01","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-01-02","11","Running","hills","","01:06:32","","00:28:06","00:24:48","00:05:16","00:07:12","00:01:10","12.475","360.1","1.93","","142","184","","","","","","","","","","","4*2mins + 4*1min hills.

Wee hill session on the path up from Beck Wythop. Felt fine, don't think GPS is very accurate up there but was moving okay.  Good work.",""
"2021-01-02","17","Running","","","00:29:43","","00:10:31","00:19:12","","","","5.965","89.3","1.65","","137","154","","","","","","","","","Saucony Ride iso2","","Easy round the block. Nice and icy and dark to keep things spicy. Stayed upright which was a bonus.",""
"2021-01-03","11","Running","","","01:30:52","","00:18:59","00:55:57","00:15:56","","","16.997","609.4","1.97","","144","166","","","","","","","","","Saucony Peregrine 10 ST","","Sale fell, whythop woods and the Bass trail with Spender, couldn't ask for anything more ❤. Path up Sale fell was lethal, just fully ice so had to bosh beside it, apart from that was all decent running. Finished with another wee loop solo to take it to 90mins, good week done, onto an easier one.",""
"2021-01-04","11","Running","","","00:30:10","","00:28:46","00:01:23","00:00:01","","","4.999","117.8","1.05","","121","137","","","","","","","","","Saucony Peregrine 10 ST","","Jog up Slate Fell with Niamh. Very nice and chill, good start to easy week.",""
"2021-01-04","16","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-01-05","10","Running","warm up/down","","00:18:40","","00:09:07","00:09:33","","","","3.715","14.8","1.51","","134","152","","","","","","","","","Saucony Endorphin Speed","","",""
"2021-01-05","10","Running","intervals","","00:29:08","","00:02:17","00:02:49","00:05:34","00:11:13","00:07:15","7.406","28.7","3.63","","168","188","","","","","","","","","Saucony Endorphin Speed","","""Threshy"" ints - 6*4mins[1min]

On the low road, was still a bit icy but didn't notice it that much. The roundabout was fun each rep, but fine, just had to keep my wits about me. Ran too fast but I still felt real comfy, HR high tho. Anyways stopped at 6 instead of 8 coz I don't want a big effort in the legs, hopefully will go and do the Whinlatter TT on Saturday, so want to be fresh for that. New shoes feeling good.",""
"2021-01-05","10","Running","warm up/down","","00:07:36","","00:01:52","00:05:44","","","","1.369","","1.75","","137","144","","","","","","","","","Saucony Endorphin Speed","","",""
"2021-01-05","16","Running","","","00:35:15","","00:21:11","00:14:03","00:00:01","","","6.423","92.8","1.4","","133","152","","","","","","","","","Saucony Ride iso2","","Round the block. It was icy as fook.",""
"2021-01-06","10","Running","","","00:49:52","","00:09:36","00:24:29","00:15:47","","","8.186","347.6","2.12","","146","164","","","","","","","","","VJ iRock 3","","Easy Binsey terrain loop. Felt alright, right foot pretty tight tho.",""
"2021-01-06","16","Running","","","00:32:38","","00:32:38","","","","","6.017","87.2","1.0","","","","","","","","","","","","Saucony Ride iso2","","Pootle round the block. Ice fine, nowhere near like yesterday. Forgot HRM, but blaring tunes was an excellent substitute.",""
"2021-01-06","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-01-07","11","Running","long","","01:43:28","","00:30:58","00:58:53","00:13:37","","","17.787","706.1","1.83","","141","165","","","","","","","","","Saucony Peregrine 10 ST","","Along bass trail, up steeeeep Barf track, then through the forest onto Lords Seat, along the skyline, then cut across the big bog to Ling fell, down and back over the side of Sale. Nice route, enjoyed it a lot. Snowy and low vis on the ridge made it good fun.",""
"2021-01-08","9","Running","","","00:32:49","","00:17:42","00:15:07","","","","5.988","91.9","1.46","","133","148","","","","","","","","","Saucony Peregrine 10 ST","","Snow running :) much nicer than ice.",""
"2021-01-08","18","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","",""
"2021-01-09","11","Running","","","01:14:36","","00:07:08","00:34:23","00:32:44","00:00:21","","10.813","803.4","2.35","","151","172","","","","","","","","","VJ iRock 3","","Little man and Lonscale fell. Winter conditions with some mega drifts at the top which was fun, deep enough to be able to just run over a fence at one point. Was running at a good pace up the main track and actually ran quicker than during the GB mountain running champs in 2018, with a much lower effort so fitness it definitely in a good place. Enjoyed it a lot, will get into the hills more often.",""
"2021-01-10","10","Running","","","01:10:00","","00:24:11","00:42:00","00:03:49","","","12.04","395.3","1.71","","139","163","","","","","","","","","Saucony Peregrine 10 ST","","Murthy with spender, bit bloody icey in places.",""
"2021-01-11","10","Running","","","00:40:08","","00:10:37","00:26:40","00:02:51","","","7.902","181.8","1.81","","141","160","","","","","","","","","Saucony Peregrine 10 ST","","Easy post S&C over to Blindcrake and back via the road. Weather not too nice, and fields were nice and muddy.",""
"2021-01-11","9","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","We supposedly had performance core at 9am, but that never happened. Did it anyways coz had already planned the day like that.",""
"2021-01-11","18","Running","","","00:31:17","","00:16:44","00:14:12","00:00:21","","","6.009","91.9","1.48","","135","158","","","","","","","","","Saucony Ride iso2","","Jog round the block, got heavily rained on. Need to lose some bunda atm hehe.",""
"2021-01-12","7","Running","","","00:30:56","","00:17:44","00:13:08","00:00:04","","","6.013","92.8","1.43","","134","156","","","","","","","","","Saucony Ride iso2","","Lovely morning, cold and still. Grew nicely into the yog, legs feeling awake at the end :)",""
"2021-01-12","15","Running","warm up/down","","00:15:14","","00:02:02","00:13:12","","","","3.153","11.0","1.87","","139","147","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-12","15","Running","intervals","","00:37:46","","00:00:17","00:01:06","00:13:29","00:22:33","00:00:21","9.917","16.8","3.57","","169","181","","","","","","","","","VJ iRock 3","","Threshy with Dan.",""
"2021-01-12","15","Running","warm up/down","","00:09:57","","00:01:10","00:08:47","","","","1.964","","1.88","","142","150","","","","","","","","","Saucony Guide 13 TR #2","","",""
"2021-01-13","11","Running","","","01:15:46","","00:27:50","00:47:23","00:00:33","","","14.477","378.3","1.64","","138","157","","","","","","","","","Saucony Peregrine 10 ST","","Easy Murthy, was meant to be 70' but I'd underestimated the muddiness of the forest. Anyways really good fun, if a little wet.",""
"2021-01-13","17","S & C","","","00:45:00","00:45:00","","","","","","","","0.0","","","","","","","","","","","","","","After a sweet nap.",""
"2021-01-14","15","Running","","","01:29:24","","00:04:50","00:26:57","00:49:31","00:08:06","","20.081","421.0","2.68","","156","175","","","","","","","","","Saucony Guide 13 TR #2","","STEADY with Dan. I do enjoy these runs where you can just roll along, definitely much easier to do with spender rather than solo. Good chat, and only one poo break, which actually I had nothing to do with (!!). A very enjoyable outing.
Have got a lactate measurer, which read 11.3 post run, which I am very much not convinced about, so I probably need to set it up correctly.",""
